antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"cuir, slip-on",gomme,0.18236472945891782,0.3927855711422846,0.1062124248496994,0.5824175824175825,1.4827876205427226,1.0,0.034582190432970145,1.4541187638434767,0.3982149463559008,0.22649572649572647,0.31229826279331235,0.42641287284144425
gomme,"cuir, slip-on",0.3927855711422846,0.18236472945891782,0.1062124248496994,0.2704081632653061,1.4827876205427224,1.0,0.034582190432970145,1.1206749162660987,0.5362102247960644,0.22649572649572647,0.10768057222889152,0.42641287284144425
caoutchouc,lacets,0.1903807615230461,0.533066132264529,0.15030060120240482,0.7894736842105264,1.4810051444400478,1.0,0.04881506499973898,2.2179358717434883,0.40115511551155125,0.2622377622377623,0.5491303365710416,0.5357142857142858
lacets,caoutchouc,0.533066132264529,0.1903807615230461,0.15030060120240482,0.2819548872180451,1.4810051444400476,1.0,0.04881506499973898,1.1275325520150248,0.6955650929899859,0.2622377622377623,0.11310764535100128,0.5357142857142858
caoutchouc,"cuir, lacets",0.1903807615230461,0.3346693386773547,0.09418837675350701,0.49473684210526314,1.4782855341947683,1.0,0.030473773197697993,1.3168002672010688,0.3996208131451442,0.2186046511627907,0.24058338617628405,0.38808698392688307
"cuir, lacets",caoutchouc,0.3346693386773547,0.1903807615230461,0.09418837675350701,0.281437125748503,1.4782855341947683,1.0,0.030473773197697993,1.1267201068804276,0.4862855678031273,0.2186046511627907,0.11246813304084899,0.38808698392688307
toile,gomme,0.14829659318637275,0.3927855711422846,0.08216432865731463,0.5540540540540541,1.4105763927192498,1.0,0.02391556660415018,1.3616323556203318,0.3417503586800574,0.17903930131004367,0.2655873695477656,0.3816188637617209
gomme,toile,0.3927855711422846,0.14829659318637275,0.08216432865731463,0.20918367346938774,1.4105763927192496,1.0,0.02391556660415018,1.0769926950675544,0.4793528133301134,0.17903930131004367,0.07148859543817525,0.3816188637617209
cuir,"gomme, slip-on",0.5390781563126252,0.14228456913827656,0.1062124248496994,0.1970260223048327,1.3847321849311482,1.0,0.029509921646901013,1.0681733838046463,0.6027891714520098,0.1846689895470383,0.06382239516381197,0.4717524477721346
"gomme, slip-on",cuir,0.14228456913827656,0.5390781563126252,0.1062124248496994,0.7464788732394365,1.384732184931148,1.0,0.029509921646901013,1.8180806056557552,0.3239287603597249,0.1846689895470383,0.4499693815064297,0.4717524477721346
rubber,slip-on,0.07414829659318638,0.3927855711422846,0.04008016032064128,0.5405405405405405,1.3761720904578045,1.0,0.010955779294059057,1.32158434516091,0.2952380952380952,0.09389671361502346,0.24333244135224316,0.32129067843353554
slip-on,rubber,0.3927855711422846,0.07414829659318638,0.04008016032064128,0.1020408163265306,1.3761720904578045,1.0,0.010955779294059057,1.031062124248497,0.45016501650165003,0.09389671361502346,0.03012633624878521,0.32129067843353554
lacets,toile,0.533066132264529,0.14829659318637275,0.10821643286573146,0.2030075187969925,1.3689290794553952,1.0,0.029164541507865432,1.0686467274170983,0.577173740263869,0.1888111888111888,0.06423706324635119,0.4663686242633611
toile,lacets,0.14829659318637275,0.533066132264529,0.10821643286573146,0.7297297297297297,1.3689290794553952,1.0,0.029164541507865432,1.7276553106212424,0.3164270152505447,0.1888111888111888,0.42118083748985036,0.4663686242633611
slip-on,suede,0.3927855711422846,0.08617234468937876,0.04609218436873747,0.1173469387755102,1.3617702895111532,1.0,0.012244930743250025,1.0353191932998946,0.43750896828813307,0.10648148148148147,0.034114303616183304,0.32611532985287134
suede,slip-on,0.08617234468937876,0.3927855711422846,0.04609218436873747,0.5348837209302325,1.3617702895111532,1.0,0.012244930743250025,1.3055110220440882,0.2907131960335621,0.10648148148148147,0.23401642489830368,0.32611532985287134
